Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
2.620975858476586,-0.8501587929855206,-0.9152280103588089,-0.9979714550890036,-0.7229778123147313,1.0187150442402915,-1.439150641760644,-0.14880733862179954,1.6167595741201661
-0.08114707638344283,0.4708975794921071,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,2.034511579076835,0.7274830764456612
-0.08114707638344283,0.4708975794921071,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,-0.14880733862179954,0.6571217404887709
-0.745829871308866,0.6841207132955137,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.03714400771570689,0.6394793645558224,2.034511579076835,0.19145762615589676
-0.745829871308866,0.6841207132955137,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.03714400771570689,0.6394793645558224,-0.14880733862179954,-0.41022464847839163
-0.8306410291183413,1.3516018278105255,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,2.034511579076835,0.4459964649723773
0.2935998999840064,0.03054545533289788,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,-0.14880733862179954,0.7744043896321626
1.0430938527189049,-0.8501587929855206,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,2.034511579076835,1.0793310238758358
-1.327673860932011,1.5764131754075954,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.9162010978669668,0.3808672032348437,2.034511579076835,0.2682979824912222
-1.327673860932011,1.5764131754075954,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.9162010978669668,0.3808672032348437,-0.14880733862179954,-0.39730787536724405
-1.327673860932011,1.5764131754075954,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.9162010978669668,0.3808672032348437,-1.0291778699518943,-1.604799189208072
0.6683468763514556,-0.40980666882631134,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,2.034511579076835,0.9327483462694578
0.7373792141033542,-0.8501587929855206,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.9162010978669668,0.3808672032348437,-1.0291778699518943,-1.1866754027475364
0.2935998999840064,0.03054545533289788,-0.9152280103588089,2.6920516831246393,-1.1928386489572793,-0.5574368812495762,-1.5225739196061208,2.034511579076835,0.8564857369742476
-1.327673860932011,1.5764131754075954,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.9162010978669668,0.3808672032348437,-0.8883185849390791,-1.214200922444455
-0.745829871308866,0.6841207132955137,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.03714400771570689,0.6394793645558224,-0.8883185849390791,-1.2112709195981561
-0.745829871308866,0.6841207132955137,-0.9152280103588089,0.6793117895535613,-1.1928386489572793,0.03714400771570689,0.6394793645558224,-1.0291778699518943,-1.5408756059838942
